,ecdf,Label,Values,location,ID,Normalized Calcium
5,0.2222222222222222,Snus,0.111,left femur calcium,4B,0.4605809128630705
6,0.25925925925925924,Snus,0.11800000000000001,left femur calcium,7B,0.4896265560165975
7,0.2962962962962963,Snus,0.12,left femur calcium,7F,0.4918032786885246
8,0.3333333333333333,Snus,0.122,left femur calcium,D,0.48221343873517786
9,0.37037037037037035,Snus,0.127,left femur calcium,5I,0.4980392156862745
10,0.4074074074074074,Snus,0.129,left femur calcium,18A,0.49236641221374045
11,0.4444444444444444,Snus,0.131,left femur calcium,18B,0.49063670411985016
12,0.48148148148148145,Snus,0.132,left femur calcium,18C,0.4943820224719101
13,0.5185185185185185,Snus,0.135,left femur calcium,18D,0.4927007299270074
14,0.5555555555555556,Snus,0.136,left femur calcium,18G,0.49635036496350377
15,0.5925925925925926,Snus,0.13699999999999998,left femur calcium,20B,0.5
16,0.6296296296296297,Snus,0.13699999999999998,left femur calcium,20D,0.49280575539568333
17,0.6666666666666666,Snus,0.139,left femur calcium,20E,0.48943661971830993
18,0.7037037037037037,Snus,0.142,left femur calcium,20G,0.49305555555555547
19,0.7407407407407407,Snus,0.14300000000000002,left femur calcium,34B,0.4798657718120806
20,0.7777777777777778,Snus,0.145,left femur calcium,34C,0.48494983277591974
21,0.8148148148148148,Snus,0.146,left femur calcium,34D,0.4834437086092715
22,0.8518518518518519,Snus,0.15,left femur calcium,34F,0.48859934853420195
23,0.8888888888888888,Snus,0.151,left femur calcium,34G,0.488673139158576
24,0.9259259259259259,Snus,0.157,left femur calcium,34H,0.5
25,0.9629629629629629,Snus,0.161,left femur calcium,34I,0.503125
26,1.0,Snus,0.168,left femur calcium,46A,0.49851632047477745
0,0.03125,Camel Blue,0.057,left femur calcium,23A,0.38
1,0.0625,Camel Blue,0.07400000000000001,left femur calcium,23D,0.35238095238095246
2,0.09375,Camel Blue,0.084,left femur calcium,23F,0.39622641509433965
3,0.125,Camel Blue,0.09300000000000001,left femur calcium,26A,0.4305555555555556
4,0.15625,Camel Blue,0.094,left femur calcium,26B,0.4292237442922375
5,0.1875,Camel Blue,0.095,left femur calcium,26F,0.41850220264317184
6,0.21875,Camel Blue,0.095,left femur calcium,26G,0.41666666666666663
7,0.25,Camel Blue,0.09699999999999999,left femur calcium,26H,0.41810344827586204
8,0.28125,Camel Blue,0.1,left femur calcium,28A,0.42194092827004226
9,0.3125,Camel Blue,0.1,left femur calcium,29C,0.4166666666666667
10,0.34375,Camel Blue,0.10099999999999999,left femur calcium,29E,0.40399999999999997
11,0.375,Camel Blue,0.10300000000000001,left femur calcium,29F,0.4103585657370518
12,0.40625,Camel Blue,0.105,left femur calcium,36B,0.4150197628458498
13,0.4375,Camel Blue,0.10800000000000001,left femur calcium,36C,0.4202334630350195
14,0.46875,Camel Blue,0.11199999999999999,left femur calcium,36F,0.43076923076923074
15,0.5,Camel Blue,0.114,left femur calcium,36G,0.43018867924528303
16,0.53125,Camel Blue,0.11599999999999999,left femur calcium,39A,0.4360902255639097
17,0.5625,Camel Blue,0.124,left femur calcium,39D,0.45588235294117646
18,0.59375,Camel Blue,0.128,left femur calcium,39E,0.46715328467153294
19,0.625,Camel Blue,0.129,left femur calcium,44A,0.4708029197080293
20,0.65625,Camel Blue,0.13,left femur calcium,44B,0.47101449275362317
21,0.6875,Camel Blue,0.13,left femur calcium,44C,0.4676258992805755
22,0.71875,Camel Blue,0.133,left femur calcium,44E,0.47330960854092524
23,0.75,Camel Blue,0.13699999999999998,left femur calcium,44F,0.487544483985765
24,0.78125,Camel Blue,0.141,left femur calcium,44G,0.5
25,0.8125,Camel Blue,0.142,left femur calcium,44H,0.4965034965034964
26,0.84375,Camel Blue,0.146,left femur calcium,44J,0.48666666666666664
27,0.875,Camel Blue,0.146,left femur calcium,45A,0.48666666666666664
28,0.90625,Camel Blue,0.161,left femur calcium,45B,0.5227272727272727
29,0.9375,Camel Blue,0.165,left femur calcium,45C,0.5305466237942122
30,0.96875,Camel Blue,0.174,left femur calcium,45E,0.5353846153846153
31,1.0,Camel Blue,0.299,left femur calcium,45F,0.8952095808383234
