,ecdf,Label,Values,location,ID,Normalized Calcium
0,0.02040816326530612,PBS,0.094,right arm calcium,22B,0.35877862595419846
1,0.04081632653061224,PBS,0.11800000000000001,right arm calcium,22D,0.44528301886792454
2,0.061224489795918366,PBS,0.11800000000000001,right arm calcium,27G,0.42599277978339356
3,0.08163265306122448,PBS,0.124,right arm calcium,27H,0.41891891891891886
4,0.10204081632653061,PBS,0.128,right arm calcium,31A,0.4280936454849499
5,0.12244897959183673,PBS,0.128,right arm calcium,31B,0.42524916943521596
6,0.14285714285714285,PBS,0.129,right arm calcium,31C,0.4243421052631579
7,0.16326530612244897,PBS,0.133,right arm calcium,31E,0.4360655737704918
8,0.1836734693877551,PBS,0.133,right arm calcium,32A,0.43322475570032576
9,0.20408163265306123,PBS,0.133,right arm calcium,32C,0.4318181818181818
10,0.22448979591836735,PBS,0.134,right arm calcium,32H,0.4336569579288026
11,0.24489795918367346,PBS,0.134,right arm calcium,33A,0.4322580645161291
12,0.2653061224489796,PBS,0.134,right arm calcium,33B,0.4294871794871795
13,0.2857142857142857,PBS,0.135,right arm calcium,33C,0.4285714285714286
14,0.30612244897959184,PBS,0.135,right arm calcium,33D,0.421875
15,0.32653061224489793,PBS,0.136,right arm calcium,33E,0.42367601246105924
16,0.3469387755102041,PBS,0.138,right arm calcium,33F,0.4285714285714286
17,0.3673469387755102,PBS,0.138,right arm calcium,33H,0.4285714285714286
18,0.3877551020408163,PBS,0.141,right arm calcium,33J,0.43384615384615377
19,0.40816326530612246,PBS,0.147,right arm calcium,40A,0.4481707317073171
20,0.42857142857142855,PBS,0.14800000000000002,right arm calcium,40B,0.4512195121951221
21,0.4489795918367347,PBS,0.151,right arm calcium,40C,0.4561933534743202
22,0.46938775510204084,PBS,0.152,right arm calcium,40D,0.4578313253012048
23,0.4897959183673469,PBS,0.155,right arm calcium,41A,0.4654654654654655
24,0.5102040816326531,PBS,0.161,right arm calcium,41B,0.4834834834834835
25,0.5306122448979592,PBS,0.16399999999999998,right arm calcium,41C,0.48664688427299696
26,0.5510204081632653,PBS,0.165,right arm calcium,41D,0.48816568047337283
27,0.5714285714285714,PBS,0.166,right arm calcium,41E,0.48967551622418887
28,0.5918367346938775,PBS,0.16899999999999998,right arm calcium,41F,0.49705882352941166
29,0.6122448979591837,PBS,0.16899999999999998,right arm calcium,41G,0.49560117302052775
30,0.6326530612244898,PBS,0.16899999999999998,right arm calcium,41H,0.4941520467836256
31,0.6530612244897959,PBS,0.17,right arm calcium,41I,0.494186046511628
32,0.673469387755102,PBS,0.171,right arm calcium,42A,0.4913793103448277
33,0.6938775510204082,PBS,0.174,right arm calcium,42B,0.5
34,0.7142857142857143,PBS,0.17800000000000002,right arm calcium,42C,0.5114942528735633
35,0.7346938775510204,PBS,0.18,right arm calcium,42D,0.5157593123209169
36,0.7551020408163265,PBS,0.18,right arm calcium,42E,0.5157593123209169
37,0.7755102040816326,PBS,0.182,right arm calcium,42F,0.52
38,0.7959183673469388,PBS,0.183,right arm calcium,42G,0.516949152542373
39,0.8163265306122449,PBS,0.184,right arm calcium,43A,0.5168539325842696
40,0.8367346938775511,PBS,0.187,right arm calcium,43B,0.5238095238095237
41,0.8571428571428571,PBS,0.19,right arm calcium,43C,0.5234159779614326
42,0.8775510204081632,PBS,0.191,right arm calcium,43D,0.5162162162162163
43,0.8979591836734694,PBS,0.196,right arm calcium,43E,0.5254691689008043
44,0.9183673469387755,PBS,0.196,right arm calcium,43F,0.519893899204244
45,0.9387755102040817,PBS,0.19699999999999998,right arm calcium,43H,0.5197889182058046
46,0.9591836734693877,PBS,0.205,right arm calcium,43I,0.5324675324675324
47,0.9795918367346939,PBS,0.20600000000000002,right arm calcium,78A,0.5162907268170427
48,1.0,PBS,0.214,right arm calcium,78D,0.5323383084577114
0,0.027777777777777776,Snus,0.085,right arm calcium,2A,0.37280701754385964
1,0.05555555555555555,Snus,0.08900000000000001,right arm calcium,2B,0.3739495798319328
2,0.08333333333333333,Snus,0.092,right arm calcium,2C,0.338235294117647
3,0.1111111111111111,Snus,0.095,right arm calcium,2D,0.3492647058823529
4,0.1388888888888889,Snus,0.122,right arm calcium,3B,0.4452554744525548
5,0.16666666666666666,Snus,0.128,right arm calcium,4A,0.46043165467625896
6,0.19444444444444445,Snus,0.131,right arm calcium,4B,0.45644599303135897
7,0.2222222222222222,Snus,0.133,right arm calcium,7D,0.4463087248322148
8,0.25,Snus,0.14,right arm calcium,7F,0.46666666666666673
9,0.2777777777777778,Snus,0.14300000000000002,right arm calcium,A,0.471947194719472
10,0.3055555555555556,Snus,0.147,right arm calcium,D,0.47419354838709676
11,0.3333333333333333,Snus,0.14800000000000002,right arm calcium,G,0.4639498432601881
12,0.3611111111111111,Snus,0.15,right arm calcium,H,0.4629629629629629
13,0.3888888888888889,Snus,0.155,right arm calcium,5D,0.47256097560975613
14,0.4166666666666667,Snus,0.158,right arm calcium,5I,0.48170731707317077
15,0.4444444444444444,Snus,0.16,right arm calcium,18A,0.4863221884498481
16,0.4722222222222222,Snus,0.163,right arm calcium,18B,0.49244712990936557
17,0.5,Snus,0.16399999999999998,right arm calcium,18C,0.48955223880597004
18,0.5277777777777778,Snus,0.165,right arm calcium,18D,0.4896142433234421
19,0.5555555555555556,Snus,0.166,right arm calcium,18G,0.4868035190615836
20,0.5833333333333334,Snus,0.17,right arm calcium,20B,0.49853372434017595
21,0.6111111111111112,Snus,0.17300000000000001,right arm calcium,20C,0.5043731778425656
