,ecdf,Label,Values,ID
0,0.01020408163265306,PBS,0.35877862595419846,22B
1,0.02040816326530612,PBS,0.41333333333333333,22D
2,0.030612244897959183,PBS,0.41891891891891886,27G
3,0.04081632653061224,PBS,0.41914191419141916,27H
4,0.05102040816326531,PBS,0.421875,31A
5,0.061224489795918366,PBS,0.42367601246105924,31B
6,0.07142857142857142,PBS,0.4243421052631579,31C
7,0.08163265306122448,PBS,0.42524916943521596,31E
8,0.09183673469387756,PBS,0.42599277978339356,32A
9,0.10204081632653061,PBS,0.4280936454849499,32C
10,0.11224489795918367,PBS,0.4281045751633987,32H
11,0.12244897959183673,PBS,0.4285714285714286,33A
12,0.1326530612244898,PBS,0.4285714285714286,33B
13,0.14285714285714285,PBS,0.4285714285714286,33C
14,0.15306122448979592,PBS,0.4294871794871795,33D
15,0.16326530612244897,PBS,0.4318181818181818,33E
16,0.17346938775510204,PBS,0.4318181818181818,33F
17,0.1836734693877551,PBS,0.4322580645161291,33H
18,0.19387755102040816,PBS,0.43322475570032576,33J
19,0.20408163265306123,PBS,0.4336569579288026,40A
20,0.21428571428571427,PBS,0.43384615384615377,40B
21,0.22448979591836735,PBS,0.4360655737704918,40C
22,0.23469387755102042,PBS,0.4368932038834952,40D
23,0.24489795918367346,PBS,0.44409937888198764,41A
24,0.25510204081632654,PBS,0.44514106583072094,41B
25,0.2653061224489796,PBS,0.44514106583072094,41C
26,0.2755102040816326,PBS,0.44528301886792454,41D
27,0.2857142857142857,PBS,0.4464831804281345,41E
28,0.29591836734693877,PBS,0.446875,41F
29,0.30612244897959184,PBS,0.4481707317073171,41G
30,0.3163265306122449,PBS,0.4483870967741936,41H
31,0.32653061224489793,PBS,0.44871794871794873,41I
32,0.336734693877551,PBS,0.4490445859872611,42A
33,0.3469387755102041,PBS,0.4493670886075949,42B
34,0.35714285714285715,PBS,0.4512195121951221,42C
35,0.3673469387755102,PBS,0.45201238390092885,42D
36,0.37755102040816324,PBS,0.4561933534743202,42E
37,0.3877551020408163,PBS,0.45736434108527135,42F
38,0.3979591836734694,PBS,0.4578313253012048,42G
39,0.40816326530612246,PBS,0.46538461538461534,43A
40,0.41836734693877553,PBS,0.4654654654654655,43B
41,0.42857142857142855,PBS,0.4670658682634731,43C
42,0.4387755102040816,PBS,0.470059880239521,43D
43,0.4489795918367347,PBS,0.4712990936555891,43E
44,0.45918367346938777,PBS,0.4712990936555891,43F
45,0.46938775510204084,PBS,0.4760479041916168,43H
46,0.47959183673469385,PBS,0.47761194029850745,43I
47,0.4897959183673469,PBS,0.4783715012722647,78A
48,0.5,PBS,0.47916666666666663,78D
49,0.5102040816326531,PBS,0.47959183673469385,22B
50,0.5204081632653061,PBS,0.4834834834834835,22D
51,0.5306122448979592,PBS,0.48554913294797686,27G
52,0.5408163265306123,PBS,0.48664688427299696,27H
53,0.5510204081632653,PBS,0.4878706199460917,31A
54,0.5612244897959183,PBS,0.488095238095238,31B
55,0.5714285714285714,PBS,0.48816568047337283,31C
56,0.5816326530612245,PBS,0.48816568047337283,31E
57,0.5918367346938775,PBS,0.48823529411764705,32A
58,0.6020408163265306,PBS,0.4894179894179895,32C
59,0.6122448979591837,PBS,0.4896142433234421,32H
60,0.6224489795918368,PBS,0.48967551622418887,33A
61,0.6326530612244898,PBS,0.48989898989898983,33B
62,0.6428571428571429,PBS,0.48997134670487114,33C
63,0.6530612244897959,PBS,0.49014084507042255,33D
64,0.6632653061224489,PBS,0.4904632152588555,33E
65,0.673469387755102,PBS,0.49056603773584906,33F
66,0.6836734693877551,PBS,0.4906166219839142,33H
67,0.6938775510204082,PBS,0.4911764705882352,33J
68,0.7040816326530612,PBS,0.4913793103448277,40A
69,0.7142857142857143,PBS,0.49162011173184367,40B
70,0.7244897959183674,PBS,0.4919786096256684,40C
71,0.7346938775510204,PBS,0.49283667621776506,40D
72,0.7448979591836735,PBS,0.4941520467836256,41A
73,0.7551020408163265,PBS,0.494186046511628,41B
74,0.7653061224489796,PBS,0.49421965317919075,41C
75,0.7755102040816326,PBS,0.4942857142857144,41D
76,0.7857142857142857,PBS,0.49441340782122906,41E
77,0.7959183673469388,PBS,0.49560117302052775,41F
78,0.8061224489795918,PBS,0.49584487534626037,41G
79,0.8163265306122449,PBS,0.49705882352941166,41H
80,0.826530612244898,PBS,0.5,41I
81,0.8367346938775511,PBS,0.5049751243781094,42A
82,0.8469387755102041,PBS,0.5114942528735633,42B
83,0.8571428571428571,PBS,0.5136476426799007,42C
84,0.8673469387755102,PBS,0.5157593123209169,42D
85,0.8775510204081632,PBS,0.5157593123209169,42E
86,0.8877551020408163,PBS,0.5162162162162163,42F
87,0.8979591836734694,PBS,0.5162907268170427,42G
88,0.9081632653061225,PBS,0.5168539325842696,43A
89,0.9183673469387755,PBS,0.516949152542373,43B
90,0.9285714285714286,PBS,0.5197889182058046,43C
91,0.9387755102040817,PBS,0.519893899204244,43D
92,0.9489795918367347,PBS,0.52,43E
93,0.9591836734693877,PBS,0.5234159779614326,43F
94,0.9693877551020408,PBS,0.5238095238095237,43H
95,0.9795918367346939,PBS,0.5254691689008043,43I
96,0.9897959183673469,PBS,0.5323383084577114,78A
97,1.0,PBS,0.5324675324675324,78D
0,0.013888888888888888,Snus,0.338235294117647,2A
1,0.027777777777777776,Snus,0.3461538461538462,2B
2,0.041666666666666664,Snus,0.3492647058823529,2C
3,0.05555555555555555,Snus,0.35984848484848486,2D
4,0.06944444444444445,Snus,0.36097560975609766,3B
5,0.08333333333333333,Snus,0.37280701754385964,4A
