,ecdf,Label,Values,location,ID,Normalized Calcium
0,0.02631578947368421,PBS,0.075,right femur calcium,22B,0.3488372093023256
1,0.05263157894736842,PBS,0.076,right femur calcium,22D,0.3261802575107296
2,0.07894736842105263,PBS,0.079,right femur calcium,22H,0.3390557939914163
3,0.10526315789473684,PBS,0.083,right femur calcium,27G,0.3547008547008547
4,0.13157894736842105,PBS,0.084,right femur calcium,27H,0.3574468085106383
5,0.15789473684210525,PBS,0.091,right femur calcium,31A,0.3839662447257384
6,0.18421052631578946,PBS,0.09300000000000001,right femur calcium,31B,0.38750000000000007
7,0.21052631578947367,PBS,0.09300000000000001,right femur calcium,31C,0.38271604938271614
8,0.23684210526315788,PBS,0.096,right femur calcium,31E,0.38866396761133604
9,0.2631578947368421,PBS,0.098,right femur calcium,40B,0.39357429718875503
10,0.2894736842105263,PBS,0.099,right femur calcium,40C,0.396
11,0.3157894736842105,PBS,0.10099999999999999,right femur calcium,40D,0.3992094861660079
12,0.34210526315789475,PBS,0.102,right femur calcium,41A,0.39999999999999997
13,0.3684210526315789,PBS,0.10300000000000001,right femur calcium,41B,0.39922480620155043
14,0.39473684210526316,PBS,0.10400000000000001,right femur calcium,41C,0.4015444015444016
15,0.42105263157894735,PBS,0.111,right femur calcium,41D,0.42857142857142855
16,0.4473684210526316,PBS,0.11599999999999999,right femur calcium,41E,0.4478764478764478
17,0.47368421052631576,PBS,0.11599999999999999,right femur calcium,41H,0.4461538461538461
18,0.5,PBS,0.11900000000000001,right femur calcium,42B,0.4541984732824428
19,0.5263157894736842,PBS,0.12,right femur calcium,42C,0.45283018867924524
20,0.5526315789473685,PBS,0.122,right femur calcium,42D,0.4569288389513108
21,0.5789473684210527,PBS,0.125,right femur calcium,42E,0.46468401486988853
22,0.6052631578947368,PBS,0.129,right femur calcium,42F,0.479553903345725
23,0.631578947368421,PBS,0.129,right femur calcium,42G,0.46570397111913364
24,0.6578947368421053,PBS,0.129,right femur calcium,43A,0.46236559139784955
25,0.6842105263157895,PBS,0.133,right femur calcium,43B,0.47670250896057353
26,0.7105263157894737,PBS,0.135,right femur calcium,43C,0.47872340425531923
27,0.7368421052631579,PBS,0.13699999999999998,right femur calcium,43D,0.4840989399293285
28,0.7631578947368421,PBS,0.139,right femur calcium,43E,0.48943661971830993
29,0.7894736842105263,PBS,0.141,right femur calcium,43F,0.4828767123287671
30,0.8157894736842105,PBS,0.142,right femur calcium,43G,0.4749163879598662
31,0.8421052631578947,PBS,0.14400000000000002,right femur calcium,43I,0.4768211920529802
32,0.868421052631579,PBS,0.14400000000000002,right femur calcium,78A,0.4721311475409837
33,0.8947368421052632,PBS,0.146,right femur calcium,78D,0.474025974025974
34,0.9210526315789473,PBS,0.147,right femur calcium,78F,0.47266881028938906
35,0.9473684210526315,PBS,0.147,right femur calcium,78H,0.46815286624203817
36,0.9736842105263158,PBS,0.155,right femur calcium,78I,0.48589341692789967
37,1.0,PBS,0.16699999999999998,right femur calcium,78J,0.5202492211838006
0,0.037037037037037035,Snus,0.068,right femur calcium,2D,0.3798882681564246
1,0.07407407407407407,Snus,0.092,right femur calcium,3A,0.4717948717948718
2,0.1111111111111111,Snus,0.107,right femur calcium,3B,0.5323383084577114
3,0.14814814814814814,Snus,0.107,right femur calcium,3C,0.4572649572649573
4,0.18518518518518517,Snus,0.11,right femur calcium,4A,0.4661016949152542
5,0.2222222222222222,Snus,0.11199999999999999,right femur calcium,4B,0.4552845528455284
6,0.25925925925925924,Snus,0.113,right femur calcium,7B,0.45381526104417674
7,0.2962962962962963,Snus,0.114,right femur calcium,7F,0.456
8,0.3333333333333333,Snus,0.114,right femur calcium,D,0.4470588235294118
9,0.37037037037037035,Snus,0.11599999999999999,right femur calcium,5I,0.4461538461538461
10,0.4074074074074074,Snus,0.11699999999999999,right femur calcium,18A,0.4465648854961832
11,0.4444444444444444,Snus,0.12300000000000001,right femur calcium,18B,0.46946564885496184
12,0.48148148148148145,Snus,0.125,right femur calcium,18C,0.4716981132075471
13,0.5185185185185185,Snus,0.125,right femur calcium,18D,0.46641791044776115
14,0.5555555555555556,Snus,0.125,right femur calcium,18G,0.45787545787545786
15,0.5925925925925926,Snus,0.13,right femur calcium,20B,0.46931407942238274
16,0.6296296296296297,Snus,0.131,right femur calcium,20D,0.47292418772563183
17,0.6666666666666666,Snus,0.132,right femur calcium,20E,0.4697508896797153
18,0.7037037037037037,Snus,0.138,right femur calcium,20G,0.4825174825174825
19,0.7407407407407407,Snus,0.145,right femur calcium,34B,0.5
20,0.7777777777777778,Snus,0.147,right femur calcium,34C,0.506896551724138
21,0.8148148148148148,Snus,0.14800000000000002,right femur calcium,34D,0.5068493150684933
22,0.8518518518518519,Snus,0.14800000000000002,right femur calcium,34F,0.49831649831649844
23,0.8888888888888888,Snus,0.157,right femur calcium,34G,0.5181518151815182
24,0.9259259259259259,Snus,0.174,right femur calcium,34H,0.5612903225806452
25,0.9629629629629629,Snus,0.179,right femur calcium,34I,0.559375
26,1.0,Snus,0.18100000000000002,right femur calcium,46A,0.5261627906976746
0,0.03125,Camel Blue,0.076,right femur calcium,23A,0.7169811320754716
1,0.0625,Camel Blue,0.08199999999999999,right femur calcium,23D,0.37962962962962954
2,0.09375,Camel Blue,0.084,right femur calcium,23F,0.36363636363636365
3,0.125,Camel Blue,0.092,right femur calcium,26A,0.39316239316239315
4,0.15625,Camel Blue,0.095,right femur calcium,26B,0.40598290598290604
5,0.1875,Camel Blue,0.099,right femur calcium,26F,0.40243902439024387
6,0.21875,Camel Blue,0.105,right femur calcium,26G,0.42682926829268286
7,0.25,Camel Blue,0.106,right femur calcium,26H,0.4274193548387097
8,0.28125,Camel Blue,0.106,right femur calcium,28A,0.4140625
9,0.3125,Camel Blue,0.109,right femur calcium,29C,0.42248062015503873
10,0.34375,Camel Blue,0.111,right femur calcium,29E,0.43023255813953487
11,0.375,Camel Blue,0.113,right femur calcium,29F,0.4346153846153846
12,0.40625,Camel Blue,0.114,right femur calcium,36B,0.4351145038167939
13,0.4375,Camel Blue,0.115,right femur calcium,36C,0.4389312977099237
14,0.46875,Camel Blue,0.11599999999999999,right femur calcium,36F,0.4410646387832699
15,0.5,Camel Blue,0.11900000000000001,right femur calcium,36G,0.4524714828897339
16,0.53125,Camel Blue,0.12300000000000001,right femur calcium,39A,0.44244604316546765
17,0.5625,Camel Blue,0.125,right femur calcium,39D,0.4385964912280702
18,0.59375,Camel Blue,0.126,right femur calcium,39E,0.4405594405594405
19,0.625,Camel Blue,0.13,right femur calcium,44A,0.44520547945205485
20,0.65625,Camel Blue,0.131,right femur calcium,44B,0.44709897610921506
21,0.6875,Camel Blue,0.134,right femur calcium,44C,0.4451827242524917
22,0.71875,Camel Blue,0.138,right femur calcium,44E,0.45847176079734225
23,0.75,Camel Blue,0.14400000000000002,right femur calcium,44F,0.47524752475247534
24,0.78125,Camel Blue,0.145,right femur calcium,44G,0.4785478547854785
25,0.8125,Camel Blue,0.145,right femur calcium,44H,0.47697368421052627
26,0.84375,Camel Blue,0.152,right femur calcium,44J,0.49836065573770494
27,0.875,Camel Blue,0.152,right femur calcium,45A,0.495114006514658
28,0.90625,Camel Blue,0.153,right femur calcium,45B,0.49038461538461536
29,0.9375,Camel Blue,0.162,right femur calcium,45C,0.50625
30,0.96875,Camel Blue,0.16399999999999998,right femur calcium,45E,0.4837758112094395
31,1.0,Camel Blue,0.17800000000000002,right femur calcium,45F,0.5028248587570622
