,ecdf,Label,Values,ID
0,0.013157894736842105,PBS,0.22549019607843138,22B
1,0.02631578947368421,PBS,0.3261802575107296,22D
2,0.039473684210526314,PBS,0.3390557939914163,22H
3,0.05263157894736842,PBS,0.34722222222222215,27G
4,0.06578947368421052,PBS,0.3488372093023256,27H
5,0.07894736842105263,PBS,0.3547008547008547,31A
6,0.09210526315789473,PBS,0.3574468085106383,31B
7,0.10526315789473684,PBS,0.36111111111111105,31C
8,0.11842105263157894,PBS,0.36818181818181817,31E
9,0.13157894736842105,PBS,0.38271604938271614,40B
10,0.14473684210526316,PBS,0.3839662447257384,40C
11,0.15789473684210525,PBS,0.38461538461538464,40D
12,0.17105263157894737,PBS,0.38750000000000007,41A
13,0.18421052631578946,PBS,0.38866396761133604,41B
14,0.19736842105263158,PBS,0.3891402714932126,41C
15,0.21052631578947367,PBS,0.39357429718875503,41D
16,0.2236842105263158,PBS,0.3938223938223938,41E
17,0.23684210526315788,PBS,0.3947368421052631,41H
18,0.25,PBS,0.396,42B
19,0.2631578947368421,PBS,0.3974358974358975,42C
20,0.27631578947368424,PBS,0.3992094861660079,42D
21,0.2894736842105263,PBS,0.39922480620155043,42E
22,0.3026315789473684,PBS,0.39999999999999997,42F
23,0.3157894736842105,PBS,0.4015444015444016,42G
24,0.32894736842105265,PBS,0.40157480314960625,43A
25,0.34210526315789475,PBS,0.40160642570281124,43B
26,0.35526315789473684,PBS,0.40239043824701193,43C
27,0.3684210526315789,PBS,0.40350877192982454,43D
28,0.3815789473684211,PBS,0.4067164179104477,43E
29,0.39473684210526316,PBS,0.41176470588235287,43F
30,0.40789473684210525,PBS,0.4117647058823529,43G
31,0.42105263157894735,PBS,0.41250000000000003,43I
32,0.4342105263157895,PBS,0.4202898550724637,78A
33,0.4473684210526316,PBS,0.42124542124542125,78D
34,0.4605263157894737,PBS,0.424561403508772,78F
35,0.47368421052631576,PBS,0.42857142857142855,78H
36,0.4868421052631579,PBS,0.42907801418439717,78I
37,0.5,PBS,0.43402777777777773,78J
38,0.5131578947368421,PBS,0.43508771929824563,22B
39,0.5263157894736842,PBS,0.44290657439446374,22D
40,0.5394736842105263,PBS,0.4448275862068966,22H
41,0.5526315789473685,PBS,0.4461538461538461,27G
42,0.5657894736842105,PBS,0.4478764478764478,27H
43,0.5789473684210527,PBS,0.4482758620689656,31A
44,0.5921052631578947,PBS,0.44863013698630144,31B
45,0.6052631578947368,PBS,0.4527027027027027,31C
46,0.618421052631579,PBS,0.45283018867924524,31E
47,0.631578947368421,PBS,0.45394736842105265,40B
48,0.6447368421052632,PBS,0.4541984732824428,40C
49,0.6578947368421053,PBS,0.4569288389513108,40D
50,0.6710526315789473,PBS,0.46236559139784955,41A
51,0.6842105263157895,PBS,0.46349206349206346,41B
52,0.6973684210526315,PBS,0.46372239747634064,41C
53,0.7105263157894737,PBS,0.4640522875816993,41D
54,0.7236842105263158,PBS,0.46468401486988853,41E
55,0.7368421052631579,PBS,0.4647435897435897,41H
56,0.75,PBS,0.46570397111913364,42B
57,0.7631578947368421,PBS,0.46815286624203817,42C
58,0.7763157894736842,PBS,0.4721311475409837,42D
59,0.7894736842105263,PBS,0.47266881028938906,42E
60,0.8026315789473685,PBS,0.4730538922155689,42F
61,0.8157894736842105,PBS,0.474025974025974,42G
62,0.8289473684210527,PBS,0.4748427672955975,43A
63,0.8421052631578947,PBS,0.4749163879598662,43B
64,0.8552631578947368,PBS,0.47670250896057353,43C
65,0.868421052631579,PBS,0.4768211920529802,43D
66,0.881578947368421,PBS,0.47826086956521735,43E
67,0.8947368421052632,PBS,0.47872340425531923,43F
68,0.9078947368421053,PBS,0.479553903345725,43G
69,0.9210526315789473,PBS,0.48136645962732916,43I
70,0.9342105263157895,PBS,0.4828767123287671,78A
71,0.9473684210526315,PBS,0.4840989399293285,78D
72,0.9605263157894737,PBS,0.48589341692789967,78F
73,0.9736842105263158,PBS,0.48943661971830993,78H
74,0.9868421052631579,PBS,0.5029761904761904,78I
75,1.0,PBS,0.5202492211838006,78J
0,0.018518518518518517,Snus,0.31,2D
1,0.037037037037037035,Snus,0.3798882681564246,3A
2,0.05555555555555555,Snus,0.4461538461538461,3B
3,0.07407407407407407,Snus,0.4465648854961832,3C
4,0.09259259259259259,Snus,0.4470588235294118,4A
5,0.1111111111111111,Snus,0.45381526104417674,4B
6,0.12962962962962962,Snus,0.4552845528455284,7B
7,0.14814814814814814,Snus,0.456,7F
8,0.16666666666666666,Snus,0.45652173913043476,D
9,0.18518518518518517,Snus,0.4572649572649573,5I
10,0.2037037037037037,Snus,0.45787545787545786,18A
11,0.2222222222222222,Snus,0.45991561181434604,18B
12,0.24074074074074073,Snus,0.4605809128630705,18C
13,0.25925925925925924,Snus,0.4621848739495798,18D
14,0.2777777777777778,Snus,0.4661016949152542,18G
15,0.2962962962962963,Snus,0.46641791044776115,20B
16,0.3148148148148148,Snus,0.46931407942238274,20D
17,0.3333333333333333,Snus,0.46946564885496184,20E
18,0.35185185185185186,Snus,0.4697508896797153,20G
19,0.37037037037037035,Snus,0.4716981132075471,34B
20,0.3888888888888889,Snus,0.4717948717948718,34C
21,0.4074074074074074,Snus,0.4727272727272728,34D
22,0.42592592592592593,Snus,0.47292418772563183,34F
23,0.4444444444444444,Snus,0.4798657718120806,34G
24,0.46296296296296297,Snus,0.48221343873517786,34H
25,0.48148148148148145,Snus,0.4825174825174825,34I
26,0.5,Snus,0.4834437086092715,46A
27,0.5185185185185185,Snus,0.48494983277591974,2D
